Type,Project Code,Order Nature,Contractor,Job Card No.,Job Card Date,Job Card Status,Tower Type,Tower Sub Type,Alias,Mark No.,Section,Length,Width,Wt/Pcs,Balance Qty.,Balance Wt.,Assign Date,Activity,Operation,Ref. Job Card No.,Last Production Entry Date,Work Order No.,Batch No.,BOM Status,Is Welded Structure
Job Card WIP,,EARTHING,DASHMESH ENTERPRISES GP-2,823167,12/7/2026,Authorized,HDG FLAT 75X12,HDG FLAT_NTLT,,1,FLAT 75X12 MS,6000,,1,15400,15400,12/7/2026,GB,G;GB,,18/07/2026,WO/26-27/000734,,Authorized,FALSE
Job Card WIP,,EARTHING,DASHMESH ENTERPRISES GP-2,832980,7/8/2026,Authorized,HDG GRATING 40X5,HDG GRATING_NTLT,,0,GRATING 40X5 MS,1000,1000,1,290,290,7/8/2026,GB,G;GB,,12/8/2026,WO/26-27/000945,,Authorized,FALSE
Job Card WIP,,EARTHING,DASHMESH ENTERPRISES GP-2,832994,10/8/2026,Authorized,HDG FLAT 75X12,HDG FLAT_NTLT,,1,FLAT 75X12 MS,6000,,1,10423,10423,10/8/2026,GB,G;GB,,8/8/2026,WO/26-27/000952,,Authorized,FALSE
Job Card WIP,,EARTHING,DASHMESH ENTERPRISES GP-2,832994,10/8/2026,Authorized,HDG FLAT 75X12,HDG FLAT_NTLT,,1,FLAT 75X12 MS,6000,,1,2200,2200,10/8/2026,GB,G;GB,,12/8/2026,WO/26-27/000952,,Authorized,FALSE
Job Card WIP,,EARTHING,DASHMESH ENTERPRISES GP-2,834102,14/08/2026,Authorized,HDG FLAT 50X6,HDG FLAT_NTLT,,1,FLAT 50X6 MS,6000,,1,6500,6500,14/08/2026,GB,G;GB,,13/08/2026,WO/26-27/001014,,Authorized,FALSE
Job Card WIP,,GENERAL,DASHMESH ENTERPRISES GP-2,831513,2/8/2026,Authorized,HDG FINISH GOODS (JW),FG JOB WORK,,1,RM JOB WORK MS,1000,,1,9442,9442,2/8/2026,GB,G;GB,,13/08/2026,WO/26-27/000936,,Authorized,FALSE
Job Card WIP,,RSJ POLE,DASHMESH ENTERPRISES,800373,6/5/2026,Authorized,HDG RSJ POLE 203X203X16,HDG BEAM_NTLT,,11,RSJ 203X203X16,16000,,832,1,832,12/6/2026,G,NTF;G;GB,,28/06/2026,WO/26-27/000246,,Authorized,FALSE
Job Card WIP,,RSJ POLE,DASHMESH ENTERPRISES,807383,31/05/2026,Authorized,HDG RSJ POLE 203X203X12,HDG BEAM_NTLT,,1,RSJ 203X203X12,12000,,624,1,624,11/6/2026,GB,NTF;G;GB,,7/7/2026,WO/26-27/000366,,Authorized,FALSE
Job Card WIP,,RSJ POLE,DASHMESH ENTERPRISES,814309,25/06/2026,Authorized,HDG RSJ POLE 152X152X12 - 37.1kg,HDG BEAM_NTLT,,1,RSJ 152X152X12 - [37.1],12000,,445.2,31,13801.2,25/06/2026,GB,NTF;G;GB,,14/07/2026,WO/26-27/000566,,Authorized,FALSE
Job Card WIP,,RSJ POLE,DASHMESH ENTERPRISES,819842,3/7/2026,Authorized,HDG RSJ POLE 152X152X11 - 37.1kg,HDG BEAM_NTLT,,1,RSJ 152X152X11 - ([37.1),11000,,408.1,33,13467.3,3/7/2026,G,NTF;TS;G;GB;Y,,29/07/2026,WO/26-27/000681,,Authorized,FALSE
